rep,trip,date,species,pod,month,day,time,type,month_char,month_split,mpa_mean,mpa_sd,mpa_se
1,1,2014-04-08,arpa,1,4,8,pd,shrub,Apr,early April,-0.9777777777777777,0.31135902820449013,0.10378634273483005
1,1,2014-04-08,ceco,1,4,8,pd,shrub,Apr,early April,-0.9777777777777777,0.31135902820449013,0.10378634273483005
1,1,2014-04-08,cade,1,4,8,pd,tree,Apr,early April,-0.8200000000000001,0.11595018087284058,0.03666666666666667
1,1,2014-04-08,abco,1,4,8,pd,tree,Apr,early April,-0.8200000000000001,0.11595018087284058,0.03666666666666667
2,1,2014-04-08,ceco,1,4,8,pd,shrub,Apr,early April,-0.975,0.4621378891320518,0.16339041762425535
2,1,2014-04-08,cade,1,4,8,pd,tree,Apr,early April,-0.755,0.10394977419675118,0.03287180487219337
2,1,2014-04-08,arpa,1,4,8,pd,shrub,Apr,early April,-0.975,0.4621378891320518,0.16339041762425535
2,1,2014-04-08,abco,1,4,8,pd,tree,Apr,early April,-0.755,0.10394977419675118,0.03287180487219337
1,1,2014-04-08,ceco,2,4,8,pd,shrub,Apr,early April,-0.9777777777777777,0.31135902820449013,0.10378634273483005
1,1,2014-04-08,cade,2,4,8,pd,tree,Apr,early April,-0.8200000000000001,0.11595018087284058,0.03666666666666667
1,1,2014-04-08,abco,2,4,8,pd,tree,Apr,early April,-0.8200000000000001,0.11595018087284058,0.03666666666666667
1,1,2014-04-08,arpa,2,4,8,pd,shrub,Apr,early April,-0.9777777777777777,0.31135902820449013,0.10378634273483005
2,1,2014-04-08,abco,2,4,8,pd,tree,Apr,early April,-0.755,0.10394977419675118,0.03287180487219337
2,1,2014-04-08,ceco,2,4,8,pd,shrub,Apr,early April,-0.975,0.4621378891320518,0.16339041762425535
2,1,2014-04-08,cade,2,4,8,pd,tree,Apr,early April,-0.755,0.10394977419675118,0.03287180487219337
2,1,2014-04-08,arpa,2,4,8,pd,shrub,Apr,early April,-0.975,0.4621378891320518,0.16339041762425535
