trip,date,species,month,day,time,type,month_char,month_split,mpa_mean,mpa_sd,mpa_se
1,2014-04-08,arpa,4,8,predawn,shrub,Apr,early April,-0.8625,0.39256482631170975,0.13879262537016457
1,2014-04-08,ceco,4,8,predawn,shrub,Apr,early April,-1.0777777777777777,0.35276684147527876,0.11758894715842626
1,2014-04-08,cade,4,8,predawn,tree,Apr,early April,-0.78,0.11595018087284058,0.03666666666666667
1,2014-04-08,abco,4,8,predawn,tree,Apr,early April,-0.795,0.11413929112175956,0.03609401304617953
2,2014-04-30,arpa,4,30,predawn,shrub,Apr,late April,-0.7625,0.23867192066576606,0.08438326679079043
2,2014-04-30,cade,4,30,predawn,tree,Apr,late April,-0.8714285714285714,0.18224786888818678,0.06888321972137826
2,2014-04-30,ceco,4,30,predawn,shrub,Apr,late April,-0.81875,0.22980970388562794,0.08124999999999999
2,2014-04-30,abco,4,30,predawn,tree,Apr,late April,-0.99,0.13703203194062977,0.04333333333333333
3,2014-05-11,ceco,5,11,predawn,shrub,May,early May,-1.27,0.4250490167812021,0.134412301024373
3,2014-05-11,arpa,5,11,predawn,shrub,May,early May,-0.8875,0.16636878141217312,0.05882024675714503
3,2014-05-11,cade,5,11,predawn,tree,May,early May,-0.95625,0.15221577729375774,0.053816404163998695
3,2014-05-11,abco,5,11,predawn,tree,May,early May,-1.035,0.15284342024147166,0.048333333333333325
4,2014-06-01,ceco,6,1,predawn,shrub,Jun,early June,-0.545,0.1065885130354632,0.033706247360261135
4,2014-06-01,arpa,6,1,predawn,shrub,Jun,early June,-0.47500000000000003,0.12076147288491197,0.03818813079129866
4,2014-06-01,abco,6,1,predawn,tree,Jun,early June,-0.65,0.15092308563562365,0.047726070210921186
4,2014-06-01,cade,6,1,predawn,tree,Jun,early June,-0.58,0.12516655570345728,0.039581140290126396
5,2014-06-26,cade,6,26,predawn,tree,Jun,late June,-0.6761904761904762,0.13097618831208174,0.028581347484614522
5,2014-06-26,abco,6,26,predawn,tree,Jun,late June,-0.6833333333333333,0.12281422284627026,0.02680026060048611
5,2014-06-26,arpa,6,26,predawn,shrub,Jun,late June,-0.47250000000000003,0.13905224311671308,0.031093026803279765
5,2014-06-26,ceco,6,26,predawn,shrub,Jun,late June,-0.4263157894736842,0.11349060295488929,0.02603652996430847
5,2014-06-27,abco,6,27,predawn,tree,Jun,late June,-0.6833333333333333,0.12281422284627026,0.02680026060048611
5,2014-06-27,cade,6,27,predawn,tree,Jun,late June,-0.6761904761904762,0.13097618831208174,0.028581347484614522
5,2014-06-27,ceco,6,27,predawn,shrub,Jun,late June,-0.4263157894736842,0.11349060295488929,0.02603652996430847
5,2014-06-27,arpa,6,27,predawn,shrub,Jun,late June,-0.47250000000000003,0.13905224311671308,0.031093026803279765
6,2014-07-21,cade,7,21,predawn,tree,Jul,late July,-1.0537037037037038,0.22443344307471289,0.043192236258113345
6,2014-07-21,abco,7,21,predawn,tree,Jul,late July,-1.1217391304347826,0.19058885243354806,0.039740522890991566
6,2014-07-21,arpa,7,21,predawn,shrub,Jul,late July,-0.7375,0.30081411275866465,0.06140342364056429
6,2014-07-21,ceco,7,21,predawn,shrub,Jul,late July,-0.7130434782608696,0.31087025622521947,0.06482092932457434
6,2014-07-22,abco,7,22,predawn,tree,Jul,late July,-1.1217391304347826,0.19058885243354806,0.039740522890991566
6,2014-07-22,cade,7,22,predawn,tree,Jul,late July,-1.0537037037037038,0.22443344307471289,0.043192236258113345
6,2014-07-22,arpa,7,22,predawn,shrub,Jul,late July,-0.7375,0.30081411275866465,0.06140342364056429
6,2014-07-22,ceco,7,22,predawn,shrub,Jul,late July,-0.7130434782608696,0.31087025622521947,0.06482092932457434
7,2014-08-15,cade,8,15,predawn,tree,Aug,late August,-1.92,0.4211096452627668,0.13316656236958782
7,2014-08-15,arpa,8,15,predawn,shrub,Aug,late August,-1.7666666666666666,0.39504506839170395,0.1140396882889922
7,2014-08-15,ceco,8,15,predawn,shrub,Aug,late August,-1.6291666666666667,0.3201266321411898,0.09241259862074212
7,2014-08-15,abco,8,15,predawn,tree,Aug,late August,-1.5045454545454544,0.19033463354647975,0.057388051280315024
7,2014-08-14,arpa,8,14,predawn,shrub,Aug,early August,-2.0083333333333333,0.6775065693520259,0.19557930009656602
7,2014-08-14,abco,8,14,predawn,tree,Aug,early August,-1.575,0.23788843832962772,0.06867247695335513
7,2014-08-14,ceco,8,14,predawn,shrub,Aug,early August,-2.2071428571428573,0.5876475732355834,0.15705542022976438
7,2014-08-14,cade,8,14,predawn,tree,Aug,early August,-1.6500000000000001,0.31701734968294715,0.09558432735738447
8,2014-09-19,arpa,9,19,predawn,shrub,Sep,late Sept.,-2.9595238095238097,0.844928850202644,0.1843785910907438
8,2014-09-19,cade,9,19,predawn,tree,Sep,late Sept.,-2.5204545454545455,0.4150900908836341,0.08849750472850622
8,2014-09-19,ceco,9,19,predawn,shrub,Sep,late Sept.,-2.440909090909091,0.6293678543617366,0.13418167740111572
