trip,date,month,day,time,type,month_char,month_split,mpa_mean,mpa_sd,mpa_se
1,2014-04-08,4,8,predawn,shrub,Apr,early April,-0.9764705882352942,0.3767117793564231,0.09136602686475923
1,2014-04-08,4,8,predawn,tree,Apr,early April,-0.7875,0.11224386045805053,0.025098490204120166
2,2014-04-30,4,30,predawn,shrub,Apr,late April,-0.790625,0.22819490937938708,0.05704872734484677
2,2014-04-30,4,30,predawn,tree,Apr,late April,-0.9411764705882353,0.16320548217435807,0.039583143628514034
3,2014-05-11,5,11,predawn,shrub,May,early May,-1.1,0.3811746550428803,0.0898437277990879
3,2014-05-11,5,11,predawn,tree,May,early May,-1,0.15339299776947407,0.03615507630310936
4,2014-06-01,6,1,predawn,shrub,Jun,early June,-0.51,0.11652874052533585,0.02605661851470855
4,2014-06-01,6,1,predawn,tree,Jun,early June,-0.615,0.13964240043768938,0.031224989991991983
5,2014-06-26,6,26,predawn,tree,Jun,late June,-0.6797619047619048,0.12545503703811423,0.01935813248459934
5,2014-06-26,6,26,predawn,shrub,Jun,late June,-0.45,0.12773327473170099,0.020453693462265266
5,2014-06-27,6,27,predawn,tree,Jun,late June,-0.6797619047619048,0.12545503703811423,0.01935813248459934
5,2014-06-27,6,27,predawn,shrub,Jun,late June,-0.45,0.12773327473170099,0.020453693462265266
6,2014-07-21,7,21,predawn,tree,Jul,late July,-1.085,0.21025980042192893,0.02973522613785521
6,2014-07-21,7,21,predawn,shrub,Jul,late July,-0.725531914893617,0.3026822735838782,0.044150747262875795
6,2014-07-22,7,22,predawn,tree,Jul,late July,-1.085,0.21025980042192893,0.02973522613785521
6,2014-07-22,7,22,predawn,shrub,Jul,late July,-0.725531914893617,0.3026822735838782,0.044150747262875795
7,2014-08-15,8,15,predawn,tree,Aug,late August,-1.7023809523809523,0.37831078179064315,0.08255418065588303
7,2014-08-15,8,15,predawn,shrub,Aug,late August,-1.6979166666666667,0.35858391979595494,0.07319563612226479
7,2014-08-14,8,14,predawn,shrub,Aug,early August,-2.1153846153846154,0.6259024254257577,0.12274956464811505
7,2014-08-14,8,14,predawn,tree,Aug,early August,-1.6108695652173914,0.2746719207192838,0.05727305460671276
8,2014-09-19,9,19,predawn,shrub,Sep,late Sept.,-2.694186046511628,0.7789805076054445,0.11879341372679696
8,2014-09-19,9,19,predawn,tree,Sep,late Sept.,-2.198958333333333,0.5591111471100313,0.08070074282272426
8,2014-09-20,9,20,predawn,shrub,Sep,late Sept.,-2.694186046511628,0.7789805076054445,0.11879341372679696
8,2014-09-20,9,20,predawn,tree,Sep,late Sept.,-2.198958333333333,0.5591111471100313,0.08070074282272426
9,2014-10-24,10,24,predawn,tree,Oct,late Oct.,-1.9010416666666667,0.24786097324253692,0.035775649905795334
9,2014-10-24,10,24,predawn,shrub,Oct,late Oct.,-2.3204545454545453,0.5478624617142541,0.08259337373757415
9,2014-10-25,10,25,predawn,shrub,Oct,late Oct.,-2.3204545454545453,0.5478624617142541,0.08259337373757415
9,2014-10-25,10,25,predawn,tree,Oct,late Oct.,-1.9010416666666667,0.24786097324253692,0.035775649905795334
NA,NA,NA,NA,predawn,NA,NA,month,NA,NA,NA
6,2014-07-21,7,21,midday,tree,Jul,late July,-1.93125,0.21702123003456203,0.07672859170944221
6,2014-07-21,7,21,midday,shrub,Jul,late July,-2.0625,0.1977552599986733,0.06991704268018534
6,2014-07-22,7,22,midday,tree,Jul,late July,-1.93125,0.21702123003456203,0.07672859170944221
6,2014-07-22,7,22,midday,shrub,Jul,late July,-2.0625,0.1977552599986733,0.06991704268018534
7,2014-08-15,8,15,midday,tree,Aug,late August,-2.0875,0.38706773124535787,0.1368491087710423
7,2014-08-15,8,15,midday,shrub,Aug,late August,-2.71875,0.17512750457064943,0.061916923027092154
7,2014-08-14,8,14,midday,tree,Aug,early August,-2.0166666666666666,0.15125735644519206,0.04366423773027141
7,2014-08-14,8,14,midday,shrub,Aug,early August,-3.0416666666666665,0.1505042031024887,0.04344682108769598
8,2014-09-19,9,19,midday,tree,Sep,late Sept.,-2.40625,0.5088794880257341,0.12721987200643353
8,2014-09-19,9,19,midday,shrub,Sep,late Sept.,-3.65,0.4027681991198189,0.0924013619807978
8,2014-09-20,9,20,midday,tree,Sep,late Sept.,-2.40625,0.5088794880257341,0.12721987200643353
8,2014-09-20,9,20,midday,shrub,Sep,late Sept.,-3.65,0.4027681991198189,0.0924013619807978
9,2014-10-24,10,24,midday,tree,Oct,late Oct.,-2.1375,0.33241540277189324,0.08310385069297331
9,2014-10-24,10,24,midday,shrub,Oct,late Oct.,-3.2823529411764705,0.33021828787494306,0.08008969884817704
9,2014-10-25,10,25,midday,tree,Oct,late Oct.,-2.1375,0.33241540277189324,0.08310385069297331
9,2014-10-25,10,25,midday,shrub,Oct,late Oct.,-3.2823529411764705,0.33021828787494306,0.08008969884817704
