trip,month,day,date,time,site,spp,pod,rep,midxpp
6,july,202,7/21/2014,1:35pm,1,abco,2,1,-1.75
6,july,202,7/21/2014,1:35pm,1,abco,2,2,-1.8
6,july,202,7/21/2014,1:35pm,1,arpa,2,1,-2.1
6,july,202,7/21/2014,1:35pm,1,arpa,2,2,-1.95
6,july,202,7/21/2014,1:35pm,1,cade,2,1,-1.8
6,july,202,7/21/2014,1:35pm,1,cade,2,2,-1.7
6,july,202,7/21/2014,1:35pm,1,ceco,2,1,-2.1
6,july,202,7/21/2014,1:35pm,1,ceco,2,2,-2.2
6,july,202,7/22/2014,12:30pm,2,abco,5,1,-2.25
6,july,202,7/22/2014,12:30pm,2,abco,5,2,-2.25
6,july,202,7/22/2014,12:30pm,2,arpa,5,1,-1.8
6,july,202,7/22/2014,12:30pm,2,arpa,5,2,-1.8
6,july,202,7/22/2014,12:30pm,2,cade,5,1,-2
6,july,202,7/22/2014,12:30pm,2,cade,5,2,-1.9
6,july,202,7/22/2014,12:30pm,2,ceco,5,1,-2.2
6,july,202,7/22/2014,12:30pm,2,ceco,5,2,-2.35
7,august,226,8/15/2014,12:45pm,1,abco,2,1,-1.8
7,august,226,8/15/2014,12:45pm,1,abco,2,2,-1.8
7,august,226,8/15/2014,12:45pm,1,abco,4,1,-1.8
7,august,226,8/15/2014,12:45pm,1,abco,4,2,-2
7,august,226,8/15/2014,12:45pm,1,arpa,2,1,-2.8
7,august,226,8/15/2014,12:45pm,1,arpa,2,2,-2.7
7,august,226,8/15/2014,12:45pm,1,arpa,4,1,-2.75
7,august,226,8/15/2014,12:45pm,1,arpa,4,2,-3.05
7,august,226,8/15/2014,12:45pm,1,cade,2,1,-1.9
7,august,226,8/15/2014,12:45pm,1,cade,2,2,-2
7,august,226,8/15/2014,12:45pm,1,cade,4,1,-2.7
7,august,226,8/15/2014,12:45pm,1,cade,4,2,-2.7
7,august,226,8/15/2014,12:45pm,1,ceco,2,1,-2.7
7,august,226,8/15/2014,12:45pm,1,ceco,2,2,-2.75
7,august,226,8/15/2014,12:45pm,1,ceco,4,1,-2.5
7,august,226,8/15/2014,12:45pm,1,ceco,4,2,-2.5
7,august,226,8/14/2014,13:20pm,2,abco,3,1,-1.9
7,august,226,8/14/2014,13:20pm,2,abco,3,2,-2
7,august,226,8/14/2014,12:25pm,2,abco,4,1,-1.9
7,august,226,8/14/2014,12:25pm,2,abco,4,2,-1.9
7,august,226,8/14/2014,12:49pm,2,abco,5,1,-1.95
7,august,226,8/14/2014,12:49pm,2,abco,5,2,-2
7,august,226,8/14/2014,13:20pm,2,arpa,3,1,-3
7,august,226,8/14/2014,13:20pm,2,arpa,3,2,-2.9
7,august,226,8/14/2014,12:25pm,2,arpa,4,1,-2.9
7,august,226,8/14/2014,12:25pm,2,arpa,4,2,-3
7,august,226,8/14/2014,12:49pm,2,arpa,5,1,-3.2
7,august,226,8/14/2014,12:49pm,2,arpa,5,2,-3.4
7,august,226,8/14/2014,13:20pm,2,cade,3,1,-2
7,august,226,8/14/2014,13:20pm,2,cade,3,2,-1.9
7,august,226,8/14/2014,12:25pm,2,cade,4,1,-2
7,august,226,8/14/2014,12:49pm,2,cade,4,2,-2
7,august,226,8/14/2014,12:49pm,2,cade,5,1,-2.3
7,august,226,8/14/2014,12:49pm,2,cade,5,2,-2.35
7,august,226,8/14/2014,13:20pm,2,ceco,3,1,-3.1
7,august,226,8/14/2014,13:20pm,2,ceco,3,2,-3.1
7,august,226,8/14/2014,12:25pm,2,ceco,4,1,-3.1
7,august,226,8/14/2014,12:25pm,2,ceco,4,2,-3
7,august,226,8/14/2014,12:49pm,2,ceco,5,1,-2.9
7,august,226,8/14/2014,12:49pm,2,ceco,5,2,-2.9
8,september,262,9/19/2014,1:00pm,1,abco,2,1,-1.9
8,september,262,9/19/2014,1:00pm,1,abco,2,2,-1.95
8,september,262,9/19/2014,1:00pm,1,abco,4,1,-1.9
8,september,262,9/19/2014,1:00pm,1,abco,4,2,-1.95
8,september,262,9/19/2014,1:00pm,1,arpa,2,1,-3.4
8,september,262,9/19/2014,1:00pm,1,arpa,2,2,-3.8
8,september,262,9/19/2014,1:00pm,1,arpa,3,3,-3.35
8,september,262,9/19/2014,1:00pm,1,arpa,4,1,-3.3
8,september,262,9/19/2014,1:00pm,1,arpa,4,2,-3.4
8,september,262,9/19/2014,1:00pm,1,cade,2,1,-2.1
8,september,262,9/19/2014,1:00pm,1,cade,2,2,-2.1
8,september,262,9/19/2014,1:00pm,1,cade,4,1,-3.3
8,september,262,9/19/2014,1:00pm,1,cade,4,2,-3.3
8,september,262,9/19/2014,1:00pm,1,ceco,2,1,-3.4
8,september,262,9/19/2014,1:00pm,1,ceco,2,2,-3.2
8,september,262,9/19/2014,1:00pm,1,ceco,2,3,-3.25
8,september,262,9/19/2014,1:00pm,1,ceco,4,1,-3.4
8,september,262,9/19/2014,1:00pm,1,ceco,4,2,-3.5
8,september,262,9/20/2014,1:00pm,2,abco,4,1,-2.2
8,september,262,9/20/2014,1:00pm,2,abco,4,2,-2
8,september,262,9/20/2014,1:00pm,2,abco,5,1,-2.2
8,september,262,9/20/2014,1:00pm,2,abco,5,2,-2.3
8,september,262,9/20/2014,1:00pm,2,arpa,4,1,-3.6
8,september,262,9/20/2014,1:00pm,2,arpa,4,2,-3.6
8,september,262,9/20/2014,1:00pm,2,arpa,5,1,-4.6
8,september,262,9/20/2014,1:00pm,2,arpa,5,2,-4.6
8,september,262,9/20/2014,1:00pm,2,cade,4,1,-2.6
8,september,262,9/20/2014,1:00pm,2,cade,4,2,-2.6
8,september,262,9/20/2014,1:00pm,2,cade,5,1,-3.1
8,september,262,9/20/2014,1:00pm,2,cade,5,2,-3
8,september,262,9/20/2014,1:00pm,2,ceco,4,1,-3.75
8,september,262,9/20/2014,1:00pm,2,ceco,4,2,-4.1
8,september,262,9/20/2014,1:00pm,2,ceco,4,3,-3.8
8,september,262,9/20/2014,1:00pm,2,ceco,5,1,-3.6
8,september,262,9/20/2014,1:00pm,2,ceco,5,2,-3.7
9,october,297,10/24/2014,12:55pm,1,abco,2,1,-1.7
9,october,297,10/24/2014,12:55pm,1,abco,2,2,-1.7
9,october,297,10/24/2014,1:30pm,1,abco,4,1,-1.75
9,october,297,10/24/2014,1:30pm,1,abco,4,2,-1.7
9,october,297,10/24/2014,12:55pm,1,arpa,2,1,-3.15
9,october,297,10/24/2014,12:55pm,1,arpa,2,2,-3.3
9,october,297,10/24/2014,12:55pm,1,arpa,4,1,-3.25
9,october,297,10/24/2014,12:55pm,1,arpa,4,2,-3.2
9,october,297,10/24/2014,12:55pm,1,cade,2,1,-2.2
9,october,297,10/24/2014,12:55pm,1,cade,2,2,-2.2
9,october,297,10/24/2014,1:30pm,1,cade,4,1,-2.4
