trip,date,site,species,pod,rep,prexppmpa
1,4/8/14,1,arpa,1,1,-1.1
1,4/8/14,1,ceco,1,1,-1
1,4/8/14,1,cade,1,1,-1
1,4/8/14,1,abco,1,1,-0.8
1,4/8/14,1,ceco,1,2,-1.2
1,4/8/14,1,cade,1,2,-0.9
1,4/8/14,1,arpa,1,2,-0.9
1,4/8/14,1,abco,1,2,-0.8
1,4/8/14,1,ceco,2,1,-0.9
1,4/8/14,1,cade,2,1,-0.8
1,4/8/14,1,abco,2,1,-0.8
1,4/8/14,1,arpa,2,1,-0.6
1,4/8/14,1,abco,2,2,-0.8
1,4/8/14,1,ceco,2,2,-0.8
1,4/8/14,1,cade,2,2,-0.75
1,4/8/14,1,arpa,2,2,
1,4/8/14,1,ceco,3,1,-1.2
1,4/8/14,1,arpa,3,1,-1
1,4/8/14,1,cade,3,1,-0.8
1,4/8/14,1,abco,3,1,-0.7
1,4/8/14,1,ceco,3,2,-0.8
1,4/8/14,1,cade,3,2,-0.8
1,4/8/14,1,abco,3,2,-0.6
1,4/8/14,1,arpa,3,2,
1,4/8/14,1,ceco,4,1,-1.6
1,4/8/14,1,abco,4,1,-1.05
1,4/8/14,1,cade,4,1,-0.8
1,4/8/14,1,arpa,4,1,-0.8
1,4/8/14,1,arpa,4,2,-1.6
1,4/8/14,1,ceco,4,2,-1.6
1,4/8/14,1,abco,4,2,-0.8
1,4/8/14,1,cade,4,2,-0.65
1,4/8/14,1,abco,5,1,-0.75
1,4/8/14,1,cade,5,1,-0.7
1,4/8/14,1,arpa,5,1,-0.6
1,4/8/14,1,ceco,5,1,
1,4/8/14,1,abco,5,2,-0.85
1,4/8/14,1,cade,5,2,-0.6
1,4/8/14,1,ceco,5,2,-0.6
1,4/8/14,1,arpa,5,2,-0.3
2,4/30/14,1,arpa,1,1,-1.1
2,4/30/14,1,cade,1,1,-1.1
2,4/30/14,1,ceco,1,1,-1
2,4/30/14,1,abco,1,1,-0.9
2,4/30/14,1,abco,1,2,-0.8
2,4/30/14,1,ceco,1,2,-0.65
2,4/30/14,1,arpa,1,2,-0.6
2,4/30/14,1,cade,1,2,
2,4/30/14,1,abco,2,1,-1.1
2,4/30/14,1,cade,2,1,-0.85
2,4/30/14,1,arpa,2,1,-0.7
2,4/30/14,1,ceco,2,1,-0.7
2,4/30/14,1,abco,2,2,-1.1
2,4/30/14,1,arpa,2,2,-0.9
2,4/30/14,1,cade,2,2,-0.8
2,4/30/14,1,ceco,2,2,-0.7
2,4/30/14,1,cade,3,1,-1.15
2,4/30/14,1,abco,3,1,-0.9
2,4/30/14,1,ceco,3,1,-0.8
2,4/30/14,1,arpa,3,1,-0.6
2,4/30/14,1,arpa,3,2,-1.1
2,4/30/14,1,abco,3,2,-1
2,4/30/14,1,ceco,3,2,-1
2,4/30/14,1,cade,3,2,-0.8
2,4/30/14,1,abco,4,1,-1
2,4/30/14,1,cade,4,1,-0.7
2,4/30/14,1,arpa,4,1,-0.6
2,4/30/14,1,ceco,4,1,-0.5
2,4/30/14,1,abco,4,2,-1.2
2,4/30/14,1,ceco,4,2,-1.2
2,4/30/14,1,cade,4,2,-0.7
2,4/30/14,1,arpa,4,2,-0.5
2,4/30/14,1,abco,5,1,-1.1
2,4/30/14,1,arpa,5,1,
2,4/30/14,1,cade,5,1,
2,4/30/14,1,ceco,5,1,
2,4/30/14,1,abco,5,2,-0.8
2,4/30/14,1,arpa,5,2,
2,4/30/14,1,cade,5,2,
2,4/30/14,1,ceco,5,2,
3,5/11/14,1,ceco,1,1,-1.1
3,5/11/14,1,arpa,1,1,-1.05
3,5/11/14,1,cade,1,1,-1.05
3,5/11/14,1,abco,1,1,-0.8
3,5/11/14,1,ceco,1,2,-1.35
3,5/11/14,1,cade,1,2,-1.1
3,5/11/14,1,abco,1,2,-1.05
3,5/11/14,1,arpa,1,2,
3,5/11/14,1,ceco,2,1,-2
3,5/11/14,1,arpa,2,1,-1.1
3,5/11/14,1,abco,2,1,-1.05
3,5/11/14,1,cade,2,1,-0.7
3,5/11/14,1,ceco,2,2,-1.5
3,5/11/14,1,abco,2,2,-1.15
3,5/11/14,1,cade,2,2,-0.95
3,5/11/14,1,arpa,2,2,-0.9
3,5/11/14,1,abco,3,1,-1.1
3,5/11/14,1,arpa,3,1,-1
3,5/11/14,1,ceco,3,1,-1
3,5/11/14,1,cade,3,1,-0.9
3,5/11/14,1,abco,3,2,-1.25
3,5/11/14,1,ceco,3,2,-1.2
3,5/11/14,1,cade,3,2,-1
3,5/11/14,1,arpa,3,2,
3,5/11/14,1,abco,4,1,-1.15
3,5/11/14,1,cade,4,1,-1.15
3,5/11/14,1,arpa,4,1,-0.7
3,5/11/14,1,ceco,4,1,-0.7
3,5/11/14,1,abco,4,2,-1.1
3,5/11/14,1,ceco,4,2,-1.1
3,5/11/14,1,arpa,4,2,-0.95
3,5/11/14,1,cade,4,2,-0.8
3,5/11/14,1,ceco,5,1,-1.9
3,5/11/14,1,abco,5,1,-0.9
3,5/11/14,1,arpa,5,1,-0.7
3,5/11/14,1,cade,5,1,
3,5/11/14,1,ceco,5,2,-0.85
3,5/11/14,1,abco,5,2,-0.8
3,5/11/14,1,arpa,5,2,-0.7
3,5/11/14,1,cade,5,2,
4,6/1/14,1,ceco,1,1,-0.65
4,6/1/14,1,arpa,1,1,-0.6
4,6/1/14,1,abco,1,1,-0.5
4,6/1/14,1,cade,1,1,-0.45
4,6/1/14,1,ceco,1,2,-0.6
4,6/1/14,1,arpa,1,2,-0.55
4,6/1/14,1,abco,1,2,-0.5
4,6/1/14,1,cade,1,2,-0.5
4,6/1/14,1,cade,2,1,-0.9
4,6/1/14,1,abco,2,1,-0.8
4,6/1/14,1,arpa,2,1,-0.55
4,6/1/14,1,ceco,2,1,-0.5
4,6/1/14,1,abco,2,2,-0.8
4,6/1/14,1,cade,2,2,-0.6
4,6/1/14,1,ceco,2,2,-0.45
4,6/1/14,1,arpa,2,2,-0.4
4,6/1/14,1,abco,3,1,-0.9
4,6/1/14,1,ceco,3,1,-0.7
4,6/1/14,1,cade,3,1,-0.6
4,6/1/14,1,arpa,3,1,-0.45
4,6/1/14,1,abco,3,2,-0.7
4,6/1/14,1,cade,3,2,-0.55
4,6/1/14,1,arpa,3,2,-0.5
4,6/1/14,1,ceco,3,2,-0.4
4,6/1/14,1,cade,4,1,-0.6
4,6/1/14,1,abco,4,1,-0.5
4,6/1/14,1,ceco,4,1,-0.4
4,6/1/14,1,arpa,4,1,-0.2
4,6/1/14,1,abco,4,2,-0.6
4,6/1/14,1,cade,4,2,-0.6
4,6/1/14,1,ceco,4,2,-0.55
4,6/1/14,1,arpa,4,2,-0.5
4,6/1/14,1,ceco,5,1,-0.65
4,6/1/14,1,abco,5,1,-0.5
4,6/1/14,1,cade,5,1,-0.5
4,6/1/14,1,arpa,5,1,-0.4
4,6/1/14,1,abco,5,2,-0.7
4,6/1/14,1,arpa,5,2,-0.6
4,6/1/14,1,ceco,5,2,-0.55
4,6/1/14,1,cade,5,2,-0.5
5,6/26/14,1,cade,1,1,-0.7
5,6/26/14,1,abco,1,1,-0.6
5,6/26/14,1,arpa,1,1,-0.4
5,6/26/14,1,ceco,1,1,-0.35
5,6/26/14,1,cade,1,2,-0.7
5,6/26/14,1,abco,1,2,-0.45
5,6/26/14,1,arpa,1,2,-0.45
5,6/26/14,1,ceco,1,2,-0.3
5,6/26/14,1,cade,2,1,-0.65
5,6/26/14,1,abco,2,1,-0.6
5,6/26/14,1,ceco,2,1,-0.4
5,6/26/14,1,arpa,2,1,-0.3
5,6/26/14,1,abco,2,2,-0.6
5,6/26/14,1,cade,2,2,-0.6
5,6/26/14,1,arpa,2,2,-0.5
5,6/26/14,1,ceco,2,2,-0.35
5,6/26/14,1,abco,3,1,-0.75
5,6/26/14,1,ceco,3,1,-0.7
5,6/26/14,1,cade,3,1,-0.65
5,6/26/14,1,arpa,3,1,-0.45
5,6/26/14,1,abco,3,2,-0.75
5,6/26/14,1,arpa,3,2,-0.65
5,6/26/14,1,cade,3,2,-0.65
5,6/26/14,1,ceco,3,2,-0.65
5,6/26/14,1,abco,4,1,-0.85
5,6/26/14,1,cade,4,1,-0.7
5,6/26/14,1,ceco,4,1,-0.4
5,6/26/14,1,arpa,4,1,-0.35
5,6/26/14,1,arpa,4,2,-0.9
5,6/26/14,1,abco,4,2,-0.7
5,6/26/14,1,cade,4,2,-0.7
5,6/26/14,1,ceco,4,2,-0.5
5,6/26/14,1,abco,4,3,-0.8
5,6/26/14,1,abco,5,1,-0.55
5,6/26/14,1,arpa,5,1,-0.5
5,6/26/14,1,cade,5,1,-0.5
5,6/26/14,1,ceco,5,1,-0.4
5,6/26/14,1,cade,5,2,-0.95
5,6/26/14,1,ceco,5,2,-0.6
5,6/26/14,1,abco,5,2,-0.55
5,6/26/14,1,arpa,5,2,-0.5
5,6/26/14,1,cade,5,3,-0.45
5,6/27/14,2,abco,1,1,-0.75
5,6/27/14,2,cade,1,1,-0.6
5,6/27/14,2,ceco,1,1,-0.5
5,6/27/14,2,arpa,1,1,-0.45
5,6/27/14,2,abco,1,2,-0.7
5,6/27/14,2,cade,1,2,-0.65
5,6/27/14,2,arpa,1,2,-0.5
5,6/27/14,2,ceco,1,2,-0.4
5,6/27/14,2,abco,2,1,-0.75
5,6/27/14,2,arpa,2,1,-0.65
5,6/27/14,2,cade,2,1,-0.65
5,6/27/14,2,ceco,2,1,-0.35
5,6/27/14,2,cade,2,2,-1
5,6/27/14,2,abco,2,2,-0.8
5,6/27/14,2,arpa,2,2,-0.55
5,6/27/14,2,ceco,2,2,-0.4
5,6/27/14,2,abco,3,1,-0.7
5,6/27/14,2,cade,3,1,-0.6
5,6/27/14,2,arpa,3,1,-0.4
5,6/27/14,2,ceco,3,1,-0.4
5,6/27/14,2,cade,3,2,-0.65
5,6/27/14,2,abco,3,2,-0.55
5,6/27/14,2,arpa,3,2,-0.4
5,6/27/14,2,ceco,3,2,
5,6/27/14,2,abco,4,1,-0.85
5,6/27/14,2,cade,4,1,-0.8
5,6/27/14,2,arpa,4,1,-0.35
5,6/27/14,2,ceco,4,1,-0.3
5,6/27/14,2,cade,4,2,-0.75
5,6/27/14,2,abco,4,2,-0.6
5,6/27/14,2,ceco,4,2,-0.35
5,6/27/14,2,arpa,4,2,-0.3
5,6/27/14,2,abco,5,1,-0.9
5,6/27/14,2,cade,5,1,-0.5
5,6/27/14,2,arpa,5,1,-0.45
5,6/27/14,2,ceco,5,1,-0.35
5,6/27/14,2,cade,5,2,-0.75
5,6/27/14,2,abco,5,2,-0.55
5,6/27/14,2,arpa,5,2,-0.4
5,6/27/14,2,ceco,5,2,-0.4
6,7/21/14,1,cade,1,1,-0.95
6,7/21/14,1,abco,1,1,-0.8
6,7/21/14,1,arpa,1,1,-0.6
6,7/21/14,1,ceco,1,1,-0.35
6,7/21/14,1,abco,1,2,-0.85
6,7/21/14,1,cade,1,2,-0.8
6,7/21/14,1,arpa,1,2,-0.75
6,7/21/14,1,ceco,1,2,-0.45
6,7/21/14,1,cade,1,3,-0.95
6,7/21/14,1,arpa,1,3,-0.75
6,7/21/14,1,ceco,1,3,-0.4
6,7/21/14,1,abco,2,1,-1.15
6,7/21/14,1,cade,2,1,-0.7
6,7/21/14,1,ceco,2,1,-0.45
6,7/21/14,1,arpa,2,1,-0.3
6,7/21/14,1,abco,2,2,-1.2
6,7/21/14,1,cade,2,2,-0.7
6,7/21/14,1,ceco,2,2,-0.5
6,7/21/14,1,arpa,2,2,-0.35
6,7/21/14,1,cade,3,1,-1.3
6,7/21/14,1,abco,3,1,-1.15
6,7/21/14,1,arpa,3,1,-0.85
6,7/21/14,1,ceco,3,1,-0.75
6,7/21/14,1,cade,3,2,-1.3
6,7/21/14,1,abco,3,2,-1.2
6,7/21/14,1,arpa,3,2,-0.9
6,7/21/14,1,ceco,3,2,-0.8
6,7/21/14,1,abco,4,1,-1.25
6,7/21/14,1,cade,4,1,-1.2
6,7/21/14,1,arpa,4,1,-0.4
6,7/21/14,1,ceco,4,1,-0.35
6,7/21/14,1,cade,4,2,-1.1
6,7/21/14,1,abco,4,2,-1.05
6,7/21/14,1,ceco,4,2,-0.7
6,7/21/14,1,arpa,4,2,-0.35
6,7/21/14,1,abco,4,3,-1.3
6,7/21/14,1,cade,4,3,-1.15
6,7/21/14,1,ceco,4,3,-0.6
6,7/21/14,1,cade,5,1,-1.15
6,7/21/14,1,abco,5,1,-1.15
6,7/21/14,1,arpa,5,1,-0.65
6,7/21/14,1,ceco,5,1,-0.5
6,7/21/14,1,cade,5,2,-1.5
6,7/21/14,1,abco,5,2,-1.05
6,7/21/14,1,arpa,5,2,-0.7
6,7/21/14,1,ceco,5,2,-0.35
6,7/21/14,1,cade,5,3,-1
6,7/21/14,1,abco,5,3,-1
6,7/21/14,1,ceco,5,3,-0.45
6,7/22/14,2,abco,1,1,-1.2
6,7/22/14,2,cade,1,1,-0.9
6,7/22/14,2,arpa,1,1,-0.85
6,7/22/14,2,ceco,1,1,-0.6
6,7/22/14,2,abco,1,2,-1.3
6,7/22/14,2,arpa,1,2,-0.95
6,7/22/14,2,cade,1,2,-0.9
6,7/22/14,2,ceco,1,2,-0.6
6,7/22/14,2,abco,2,1,-1.5
6,7/22/14,2,cade,2,1,-1.3
6,7/22/14,2,ceco,2,1,-1.2
6,7/22/14,2,arpa,2,1,-1.1
6,7/22/14,2,cade,2,2,-1.45
6,7/22/14,2,arpa,2,2,-1.4
6,7/22/14,2,abco,2,2,-1.2
6,7/22/14,2,ceco,2,2,-1.2
6,7/22/14,2,arpa,2,3,-1.45
6,7/22/14,2,abco,2,3,-1.4
6,7/22/14,2,cade,2,3,-1.25
6,7/22/14,2,cade,3,1,-1.25
6,7/22/14,2,abco,3,1,-1.05
6,7/22/14,2,ceco,3,1,-0.9
6,7/22/14,2,arpa,3,1,-0.5
6,7/22/14,2,abco,3,2,-1.05
6,7/22/14,2,cade,3,2,-1.05
6,7/22/14,2,ceco,3,2,-0.9
6,7/22/14,2,arpa,3,2,-0.5
6,7/22/14,2,cade,3,3,-1.15
6,7/22/14,2,ceco,4,1,-1.3
6,7/22/14,2,cade,4,1,-0.9
6,7/22/14,2,abco,4,1,-0.8
6,7/22/14,2,arpa,4,1,-0.6
6,7/22/14,2,ceco,4,2,-1.3
6,7/22/14,2,abco,4,2,-0.75
6,7/22/14,2,cade,4,2,-0.75
6,7/22/14,2,arpa,4,2,-0.5
6,7/22/14,2,cade,4,3,-0.7
6,7/22/14,2,arpa,4,3,-0.65
6,7/22/14,2,abco,5,1,-1.25
6,7/22/14,2,cade,5,1,-1.1
6,7/22/14,2,ceco,5,1,-0.85
6,7/22/14,2,arpa,5,1,-0.8
6,7/22/14,2,abco,5,2,-1.15
6,7/22/14,2,arpa,5,2,-1
6,7/22/14,2,cade,5,2,-0.95
6,7/22/14,2,ceco,5,2,-0.9
6,7/22/14,2,cade,5,3,-1
6,7/22/14,2,arpa,5,3,-0.8
7,8/15/14,1,cade,1,1,-1.9
7,8/15/14,1,arpa,1,1,-1.7
7,8/15/14,1,ceco,1,1,-1.3
7,8/15/14,1,abco,1,1,-1.25
7,8/15/14,1,arpa,1,2,-1.9
7,8/15/14,1,cade,1,2,-1.85
7,8/15/14,1,ceco,1,2,-1.3
7,8/15/14,1,abco,1,2,-1.15
7,8/15/14,1,arpa,1,3,-1.75
7,8/15/14,1,abco,2,1,-1.7
7,8/15/14,1,ceco,2,1,-1.6
7,8/15/14,1,cade,2,1,-1.35
7,8/15/14,1,arpa,2,1,-1.2
7,8/15/14,1,abco,2,2,-1.65
7,8/15/14,1,ceco,2,2,-1.55
7,8/15/14,1,arpa,2,2,-1.25
7,8/15/14,1,cade,2,2,-1.2
7,8/15/14,1,cade,3,1,-2.4
7,8/15/14,1,arpa,3,1,-2.35
7,8/15/14,1,ceco,3,1,-2.1
7,8/15/14,1,abco,3,1,-1.5
7,8/15/14,1,arpa,3,2,-2.4
7,8/15/14,1,cade,3,2,-2.35
7,8/15/14,1,abco,3,2,-1.75
7,8/15/14,1,ceco,3,2,-1.45
7,8/15/14,1,ceco,3,3,-1.85
7,8/15/14,1,abco,3,3,-1.5
7,8/15/14,1,cade,4,1,-2.3
7,8/15/14,1,abco,4,1,-1.65
7,8/15/14,1,arpa,4,1,-1.6
7,8/15/14,1,ceco,4,1,-1.4
7,8/15/14,1,cade,4,2,-2.3
7,8/15/14,1,ceco,4,2,-2.1
7,8/15/14,1,abco,4,2,-1.6
7,8/15/14,1,arpa,4,2,-1.45
7,8/15/14,1,ceco,4,3,-2.1
7,8/15/14,1,arpa,4,3,-1.5
7,8/15/14,1,arpa,5,1,-2
7,8/15/14,1,cade,5,1,-1.8
7,8/15/14,1,ceco,5,1,-1.4
7,8/15/14,1,abco,5,1,-1.4
7,8/15/14,1,arpa,5,2,-2.1
7,8/15/14,1,cade,5,2,-1.75
7,8/15/14,1,ceco,5,2,-1.4
7,8/15/14,1,abco,5,2,-1.4
7,8/14/14,2,arpa,1,1,-2.65
7,8/14/14,2,abco,1,1,-1.8
7,8/14/14,2,ceco,1,1,-1.6
7,8/14/14,2,cade,1,1,-1.6
7,8/14/14,2,ceco,1,2,-2.7
7,8/14/14,2,arpa,1,2,-2.4
7,8/14/14,2,abco,1,2,-1.85
